Designator,Value,Footprint,Article,Comment,JLC Part Type,Manufacturer,Power,Tolerance,Type,Voltage,Price @ JLC,QTY
" C2, C7, C10",47p,805,CL21C470JBANNNC,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 47PF 50V 0805 ROHS,Basic Part,Samsung,-,-,NP0,50V,0.0112,3
C2,47p,805,CL21C470JBANNNC,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 47PF 50V 0805 ROHS,Basic Part,Samsung,-,-,NP0,50V,0.0112,1
C7,47p,805,CL21C470JBANNNC,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 47PF 50V 0805 ROHS,Basic Part,Samsung,-,-,NP0,50V,0.0112,1
C10,47p,805,CL21C470JBANNNC,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 47PF 50V 0805 ROHS,Basic Part,Samsung,-,-,NP0,50V,0.0112,1
" C11, C12",20pF,805,CL21C200JBANNNC,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 20PF 50V 0805 ROHS,Basic Part,Samsung,-,-,NP0,50V,0.0112,2
"C3, C4, C13",10uF,805,CL21A106KAYNNNE,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 10UF 25V 0805 ROHS,Basic Part,Samsung,-,-,X7R,25V,0.0259,3
"C5, C6, C14",100nF,805,CC0805KRX7R9BB104,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 100NF 50V 0805 ROHS,Basic Part,Yageo,-,-,X7R,50V,0.001,3
"C15, C16",100uF,,EEU-FC1J101,-,do not place,Panasonic,-,-,-,63V,-,2
"C1, C8, C9, C17, C18, C22",1uF,805,CL21B105KBFNNNE,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 1UF 50V 0805 ROHS,Basic Part,Samsung,-,-,X7R,50V,0.0186,6
"C19, C20, C21",10nF,805,CL21B103KBANNNC,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 10NF 50V 0805 ROHS,Basic Part,Samsung,-,-,X7R,50V,0.001,3
FB1,FBead,805,do not place,-,do not place,Wuerth Electronics,-,-,-,-,-,1
"J1,CN8",,do not place,-,do not place,-,-,-,-,-,-,1,
"J2,CN7",,do not place,-,do not place,-,-,-,-,-,-,1,
"J3,CN10",,do not place,-,do not place,-,-,-,-,-,-,1,
"J4,CN9",,do not place,-,do not place,-,-,-,-,-,-,1,
"J5, J6, J8, J10",Ext_01x02,,do not place,-,do not place,-,-,-,-,-,-,4
"J7, J9, J11",Conn_01x01,,do not place,-,do not place,-,-,-,-,-,-,3
"R1,2.2k",805,0805W8F2201T5E,CHIP RESISTOR - SURFACE MOUNT 2.2KOHMS ±1% 1/8W 0805 ROHS,Basic Part,-,1/8 W,1%,-,-,0.0033,1,
"R2,39k",805,0805W8F3902T5E,CHIP RESISTOR - SURFACE MOUNT 39KOHMS ±1% 1/8W 0805 ROHS,Basic Part,-,1/8 W,1%,-,-,0.0034,1,
"R4, R5, R8, R9, R17-R21",10k,805,0805W8F1002T5E,CHIP RESISTOR - SURFACE MOUNT 10KOHMS ±1% 1/8W 0805 ROHS,Basic Part,-,1/8 W,1%,-,-,0.0035,9
"R7, R10-R12",4.7k,805,0805W8F4701T5E,CHIP RESISTOR - SURFACE MOUNT 4.7KOHMS ±1% 1/8W 0805 ROHS,Basic Part,-,1/8 W,1%,-,-,0.0034,4
"R6, R13, R22",470k,805,0805W8F4703T5E,CHIP RESISTOR - SURFACE MOUNT 470KOHMS ±1% 1/8W 0805 ROHS,Basic Part,-,1/8 W,1%,-,-,0.0034,3
"R3, R14, R16, R23, R24",100k,805,0805W8F1003T5E,CHIP RESISTOR - SURFACE MOUNT 100KOHMS ±1% 1/8W 0805 ROHS,Basic Part,-,1/8 W,1%,-,-,0.0034,5
R15,0R,805,0805W8F0000T5E,CHIP RESISTOR - SURFACE MOUNT 0OHMS ±1% 1/8W 0805 ROHS,Basic Part,-,1/8 W,1%,-,-,0.0035,1
SW1,PEC11R-4220F-S0024,,PEC11R-4220F-S0024,-,do not place,-,-,-,-,-,-,1
U1,TLV320AIC23BPW,TSSOP-28,TLV320AIC23BPWR,VIDEO-AUDIO INTERFACE ICS TSSOP-28 ROHS,Extended Part,Texas Instruments,-,-,-,-,1.545,1
U2,OLED_SSD1306_128x64,,do not place,-,do not place,-,-,-,-,-,-,1
"X1, X2, X3, X4",SJ-3524,,SJ-3524-SMT-TR,-,do not place,-,-,-,-,-,-,4
Y1,12.288 MHz,HC49-SD,6CS12288F20UCG,12.288MHZ ±20PPM 20PF 40? HC-49SMD SMD CRYSTAL RESONATORS ROHS,Extended Part,-,-,-,-,-,0.0974,1
